,Unnamed: 0,Date,region,type,4046,4225,4770,year,TotalVolume,Price,Prop,month
3001,8619,2018-01-21,DallasFtWorth,conventional,728035.0,216211.98,6291.83,2018,1437239.09,0.85,0.9835534584540991,1
3252,8870,2018-01-28,Philadelphia,conventional,90381.5,256525.12,390.07,2018,537883.88,1.23,0.9500880928862498,1
1798,7414,2017-01-22,PhoenixTucson,conventional,909748.65,296612.15,15561.81,2017,1601222.68,0.54,0.9935879549457804,1
2363,7979,2017-05-28,SouthCarolina,conventional,181618.56,78082.98,2859.86,2017,393303.27,1.41,0.9777812069031228,5
3156,8774,2018-01-28,MiamiFtLauderdale,conventional,440406.44,54463.83,2465.91,2018,661212.22,1.4,0.988217281051109,1
1791,7407,2017-03-12,PhoenixTucson,conventional,714430.93,176678.74,18778.41,2017,1264592.26,0.65,0.9862306894112124,3
44,5660,2017-02-26,Albany,conventional,3190.28,73959.76,71.2,2017,88371.09,1.4,0.975860962785338,2
934,6550,2017-05-14,HartfordSpringfield,conventional,4501.51,193014.31,269.13,2017,285282.2,1.76,0.9581623040132712,5
1078,6694,2017-08-27,Jacksonville,conventional,83466.7,12673.2,54.34,2017,138021.2,1.63,0.9764277035924616,8
174,5790,2017-09-17,Boise,conventional,35146.94,2637.92,5498.75,2017,65336.49,1.73,0.9776760944006406,9
1392,7008,2017-09-24,Nashville,conventional,74533.49,22831.21,82.19,2017,159412.07,1.66,0.9470235681110574,9
1546,7162,2017-10-29,Northeast,conventional,251453.16,2238785.24,6303.94,2017,3430235.17,1.52,0.9283008323529944,10
2451,8067,2017-10-01,Southeast,conventional,1532669.78,403538.05,3143.68,2017,2755546.6,1.82,0.9704919644342528,10
1707,7323,2017-10-15,Philadelphia,conventional,44235.03,197307.19,235.29,2017,368965.61,1.64,0.9205366824897304,10
1908,7524,2017-12-31,Portland,conventional,93210.19,250586.4,16024.9,2017,614950.95,0.89,0.9598935566399698,12
798,6414,2017-12-10,GreatLakes,conventional,609987.32,926924.56,158478.97,2017,3258080.63,1.18,0.9563004324090992,12
3139,8757,2018-03-04,Louisville,conventional,22840.56,23137.75,219.31,2018,97173.74,1.15,0.9503484770364274,3
213,5829,2017-12-24,Boston,conventional,10726.67,312860.91,1638.5,2017,414147.94,1.45,0.9417010158643132,12
3175,8793,2018-03-04,Nashville,conventional,117403.93,10736.39,403.16,2018,243867.72,1.03,0.95847557450314,3
1272,6888,2017-12-31,MiamiFtLauderdale,conventional,499352.88,74265.81,3057.2,2017,728998.69,1.17,0.9911373400270528,12
2710,8326,2017-11-12,TotalUS,conventional,11512837.0,9994648.0,416643.0,2017,32336225.0,1.15,0.9687068339927958,11
2787,8403,2017-05-28,West,conventional,2356866.57,1328698.82,158308.24,2017,6955988.8,1.07,0.9617593390708391,5
2269,7885,2017-03-05,SanFrancisco,conventional,234739.54,334851.44,12269.88,2017,672242.8,1.59,0.9694025308851204,3
3160,8778,2018-03-25,Midsouth,conventional,967164.69,1347066.73,25014.31,2018,3911075.35,1.14,0.955758778502134,3
2070,7686,2017-12-10,Roanoke,conventional,38481.95,36370.51,73.18,2017,137960.99,1.05,0.9464739741077148,12
2392,8008,2017-11-12,SouthCentral,conventional,2730492.0,1207080.0,27925.0,2017,5627547.0,0.95,0.9795947018780607,11
495,6111,2017-08-27,CincinnatiDayton,conventional,4199.84,88697.4,645.63,2017,253876.89,1.31,0.9548853281057472,8
3286,8904,2018-02-11,Plains,conventional,957709.32,540048.54,6998.12,2018,2198997.16,1.06,0.9672262802942072,2
3239,8857,2018-02-04,Orlando,conventional,511953.91,60712.96,1345.0,2018,759532.37,0.99,0.9898802449736459,2
