,Unnamed: 0,Date,region,type,4046,4225,4770,year,TotalVolume,Price,Prop,month
3053,17794,2018-03-18,HarrisburgScranton,organic,791.32,428.09,6.63,2018,17815.44,1.47,0.05610171457279967,3
1862,16603,2017-11-12,Plains,organic,937.33,18192.0,169.54,2017,51340.54,1.89,0.030615782094349564,11
102,14843,2017-01-22,Atlanta,organic,1121.56,4738.82,0.0,2017,7484.99,1.62,0.009810499432025721,1
223,14964,2017-10-15,Boston,organic,14.85,1420.26,0.0,2017,37877.39,1.6,0.08304417513495721,10
1365,16106,2017-03-26,Midsouth,organic,4177.03,50392.67,2224.98,2017,139274.81,1.41,0.04218051324197958,3
1582,16323,2017-02-19,Northeast,organic,127051.75,363472.25,322.56,2017,592952.35,1.43,0.14394990756313775,2
2023,16764,2017-10-29,RichmondNorfolk,organic,327.71,2184.05,36.01,2017,10158.08,1.67,0.04458483519212475,10
722,15463,2017-05-14,Detroit,organic,531.77,5473.59,0.0,2017,10857.83,1.76,0.02380015152722736,5
878,15619,2017-06-04,HarrisburgScranton,organic,863.87,269.83,16.96,2017,11171.92,2.04,0.043263120616949265,6
1054,15795,2017-02-05,Indianapolis,organic,568.01,1410.33,0.0,2017,3551.43,1.35,0.0127016845702016,2
822,15563,2017-06-25,GreatLakes,organic,2504.36,60395.45,3.23,2017,130430.6,1.59,0.03205143217048512,6
2022,16763,2017-11-05,RichmondNorfolk,organic,1262.85,2499.88,52.94,2017,10865.72,1.64,0.04155689940519625,11
1184,15925,2017-08-27,LosAngeles,organic,11685.86,20166.84,0.0,2017,63222.41,2.37,0.028996460617425668,8
2012,16753,2017-01-08,RaleighGreensboro,organic,179.81,4508.4,369.14,2017,11276.02,1.52,0.03563058567529132,1
1290,16031,2017-08-27,MiamiFtLauderdale,organic,15.07,2.77,0.0,2017,3393.39,1.55,0.007481051833608254,8
3265,18006,2018-01-21,PhoenixTucson,organic,2178.78,1901.41,0.0,2018,12112.82,1.78,0.009124929050607244,1
3202,17943,2018-02-11,NewYork,organic,6604.28,15647.94,863.92,2018,79877.83,1.92,0.03747902035136996,2
593,15334,2017-10-22,DallasFtWorth,organic,3989.78,395.07,0.0,2017,19214.84,1.69,0.01817616264061717,10
2346,17087,2017-09-24,SouthCarolina,organic,138.3,3523.55,102.81,2017,14716.18,2.1,0.04671784190845196,9
2350,17091,2017-08-27,SouthCarolina,organic,225.39,3924.73,86.75,2017,14071.97,2.03,0.040464406544159726,8
1144,15885,2017-05-28,LasVegas,organic,1872.87,2730.95,1.28,2017,9789.43,1.74,0.02615563681048194,5
1930,16671,2017-07-30,Portland,organic,6085.95,8191.27,25.18,2017,28171.21,2.29,0.04665471957469936,7
2461,17202,2017-07-23,Southeast,organic,1465.16,21646.39,186.22,2017,78813.04,1.72,0.021538461345059545,7
1566,16307,2017-06-11,Northeast,organic,13018.96,48648.68,1883.32,2017,191985.27,2.26,0.045142879003898566,6
2486,17227,2017-01-29,Southeast,organic,4423.96,12562.99,317.33,2017,53543.13,1.43,0.012756700637715612,1
2550,17291,2017-11-19,StLouis,organic,1329.71,678.38,0.0,2017,5820.91,1.64,0.03683492893710316,11
1276,16017,2017-12-03,MiamiFtLauderdale,organic,50.56,397.82,0.0,2017,5302.15,1.58,0.00954452981334608,12
1800,16541,2017-01-08,PhoenixTucson,organic,3667.93,4389.06,0.0,2017,13244.8,1.4,0.011496057448068364,1
627,15368,2017-02-26,DallasFtWorth,organic,7437.63,210.19,0.0,2017,28944.94,1.05,0.020649055410230318,2
2267,17008,2017-03-19,SanFrancisco,organic,6332.48,9140.83,11.7,2017,18687.22,2.88,0.02841134139056334,3
1536,16277,2017-01-01,NewYork,organic,6071.7,20105.65,1025.49,2017,39260.55,2.06,0.040051825070606006,1
352,15093,2017-05-07,California,organic,27955.44,80576.31,1.61,2017,211442.68,1.59,0.026156845853234526,5
754,15495,2017-10-08,GrandRapids,organic,42.25,1218.07,0.0,2017,8806.63,1.51,0.0921578601651084,10
1451,16192,2017-08-13,NewOrleansMobile,organic,164.92,93.1,0.0,2017,8220.25,1.2,0.033563133089331565,8
2006,16747,2017-02-19,RaleighGreensboro,organic,169.95,4133.16,283.98,2017,8726.67,1.55,0.029524468580067964,2
2460,17201,2017-07-30,Southeast,organic,1310.67,17344.96,138.42,2017,77530.96,1.63,0.023183864051002145,7
3069,17810,2018-02-18,HartfordSpringfield,organic,1201.04,40277.25,8.4,2018,49348.86,1.48,0.14836652350594914,2
221,14962,2017-10-29,Boston,organic,7.41,1225.55,0.0,2017,34011.21,1.83,0.06814268775532695,10
2971,17712,2018-03-04,CincinnatiDayton,organic,810.62,4420.73,0.0,2018,11250.57,1.68,0.040587537796808015,3
1450,16191,2017-08-20,NewOrleansMobile,organic,252.01,296.52,0.0,2017,6866.21,1.35,0.029366278330256963,8
1982,16723,2017-08-06,RaleighGreensboro,organic,138.72,5216.39,174.16,2017,14133.77,2.51,0.046675620623470186,8
3322,18063,2018-02-11,RichmondNorfolk,organic,365.59,2906.21,44.28,2018,18050.24,1.36,0.058078076876075475,2
991,15732,2017-04-16,Houston,organic,11936.8,133.14,0.0,2017,60261.72,0.88,0.04118583215553373,4
1240,15981,2017-08-06,Louisville,organic,0.0,1226.78,0.0,2017,3557.1,1.73,0.036040229370309707,8
1026,15767,2017-08-20,Indianapolis,organic,101.9,1173.7,0.0,2017,8548.97,1.64,0.046669261171524264,8
1922,16663,2017-09-24,Portland,organic,179.73,1941.11,0.0,2017,13513.91,2.81,0.036753066592518084,9
2519,17260,2017-06-18,Spokane,organic,323.22,1545.67,0.0,2017,4526.04,1.71,0.041970146192244366,6
1362,16103,2017-04-16,Midsouth,organic,4340.81,57599.11,2526.06,2017,132011.04,1.68,0.04262415628583505,4
2456,17197,2017-08-27,Southeast,organic,2655.59,23890.3,110.75,2017,77416.4,2.16,0.0251118609129537,8
1096,15837,2017-04-23,Jacksonville,organic,2785.0,291.37,6.31,2017,4125.63,1.72,0.02574283892104745,4
278,15019,2017-10-01,BuffaloRochester,organic,277.8,111.48,0.0,2017,11486.81,1.39,0.10657807374318927,10
1885,16626,2017-06-04,Plains,organic,4101.74,21665.84,57.86,2017,73160.65,1.62,0.03311540458444928,6
2213,16954,2017-03-26,SanDiego,organic,2883.71,10030.37,0.0,2017,14388.05,2.06,0.03234319399440133,3
3044,17785,2018-02-25,GreatLakes,organic,4528.42,51477.74,0.0,2018,176612.49,1.49,0.04310506571664019,2
2537,17278,2017-02-12,Spokane,organic,79.25,1229.41,0.0,2017,3673.62,1.66,0.03217793206408004,2
242,14983,2017-06-04,Boston,organic,12.27,1676.05,0.0,2017,22924.67,2.04,0.037366738999717534,6
3317,18058,2018-03-18,RichmondNorfolk,organic,459.28,3325.39,86.58,2018,15940.36,1.32,0.04184056642133094,3
2566,17307,2017-07-30,StLouis,organic,557.82,2534.81,16.0,2017,6858.93,2.11,0.042403149945102185,7
339,15080,2017-08-06,California,organic,18668.32,42686.77,0.0,2017,118098.82,2.18,0.02045336303729361,8
2812,17553,2017-12-10,WestTexNewMexico,organic,1220.08,2293.05,0.0,2017,14628.7,1.65,0.01910334310920281,12
2158,16899,2017-04-09,Sacramento,organic,2155.7,3467.14,0.0,2017,6283.41,2.37,0.01434972054469563,4
612,15353,2017-06-11,DallasFtWorth,organic,7249.87,2371.12,0.0,2017,28393.54,1.35,0.02042453259314103,6
1794,16535,2017-02-19,PhoenixTucson,organic,4394.0,4602.73,0.0,2017,17934.06,1.28,0.015073099750656847,2
1436,16177,2017-11-26,NewOrleansMobile,organic,87.3,65.02,0.0,2017,4941.8,1.44,0.02718877985550072,11
1906,16647,2017-01-08,Plains,organic,4527.73,18578.92,5649.58,2017,56310.43,1.67,0.02892609232317278,1
2101,16842,2017-05-07,Roanoke,organic,343.02,2428.09,0.0,2017,7509.16,1.72,0.032819910163911614,5
667,15408,2017-05-28,Denver,organic,25873.17,2438.11,165.37,2017,28877.5,1.69,0.033395515507586786,5
1656,16397,2017-10-01,Orlando,organic,239.14,1618.07,0.0,2017,8517.29,2.35,0.031415310202439366,10
2147,16888,2017-06-25,Sacramento,organic,2005.87,2820.32,0.0,2017,5625.98,2.37,0.011299976084377272,6
3478,18219,2018-02-11,TotalUS,organic,98465.26,270798.27,1839.8,2018,1317000.47,1.56,0.0296056242983469,2
797,15538,2017-12-17,GreatLakes,organic,4205.91,42009.63,1.63,2017,161673.33,1.42,0.05076150947208247,12
2490,17231,2017-01-01,Southeast,organic,4157.31,9930.6,262.28,2017,49777.56,1.43,0.010578198703335208,1
2426,17167,2017-03-19,SouthCentral,organic,38297.69,4561.04,0.0,2017,160600.06,1.03,0.028377862842461125,3
710,15451,2017-08-06,Detroit,organic,572.57,3106.62,0.0,2017,16059.55,1.68,0.03853007807909648,8
2843,17584,2017-04-23,WestTexNewMexico,organic,1758.8,7535.06,16.99,2017,19234.05,1.63,0.017058077912767918,4
1531,16272,2017-02-05,NewYork,organic,7829.32,20623.8,197.9,2017,58560.14,2.03,0.0224967989582594,2
540,15281,2017-10-22,Columbus,organic,546.93,1829.34,0.0,2017,12206.22,1.68,0.09867812021488254,10
1249,15990,2017-06-04,Louisville,organic,0.0,1505.75,0.0,2017,4417.78,1.34,0.035056017433341635,6
1637,16378,2017-02-05,NorthernNewEngland,organic,1.31,304.11,0.0,2017,10860.38,1.6,0.015241218649692634,2
876,15617,2017-06-18,HarrisburgScranton,organic,1032.72,569.08,18.3,2017,11104.31,2.09,0.044507426288035945,6
2974,17715,2018-02-11,CincinnatiDayton,organic,535.84,3567.35,0.0,2018,10754.39,1.59,0.034016216106793284,2
643,15384,2017-11-12,Denver,organic,4294.35,411.81,20.71,2017,16859.85,1.99,0.01949801193101597,11
1867,16608,2017-10-08,Plains,organic,1701.98,14818.4,366.66,2017,60256.56,2.02,0.04603682303460255,10
1594,16335,2017-12-03,NorthernNewEngland,organic,0.0,390.0,0.0,2017,18891.8,1.71,0.028842539623797236,12
2716,17457,2017-10-01,TotalUS,organic,100319.38,230053.24,1966.94,2017,1072521.35,1.95,0.04175970075552871,10
3042,17783,2018-03-11,GreatLakes,organic,7730.19,117026.23,0.0,2018,324172.31,1.31,0.07577887302225618,3
1147,15888,2017-05-07,LasVegas,organic,2767.64,3687.6,0.0,2017,8314.41,2.03,0.01742002645266294,5
230,14971,2017-08-27,Boston,organic,18.23,1150.07,0.0,2017,22339.0,1.75,0.046709463706606565,8
401,15142,2017-06-04,Charlotte,organic,295.98,4783.78,342.96,2017,7061.26,2.47,0.030242998967124683,6
3287,18028,2018-02-04,Plains,organic,2624.36,15773.81,4.95,2018,62817.64,1.55,0.018588882164312537,2
1322,16063,2017-01-15,MiamiFtLauderdale,organic,297.27,12.11,0.0,2017,7707.31,1.19,0.012927617812792835,1
252,14993,2017-03-26,Boston,organic,182.23,1192.32,0.0,2017,17307.58,2.02,0.030457355710846963,3
456,15197,2017-05-21,Chicago,organic,34.84,40715.22,0.0,2017,44591.86,1.94,0.05513110864665505,5
1198,15939,2017-05-21,LosAngeles,organic,10947.18,30522.45,0.0,2017,114120.43,1.42,0.037588615229993794,5
2589,17330,2017-02-19,StLouis,organic,990.14,539.15,0.0,2017,8031.89,1.1,0.05264837678610046,2
1512,16253,2017-06-18,NewYork,organic,32342.06,94247.03,277.54,2017,166308.13,1.91,0.11807724015334707,6
2819,17560,2017-10-22,WestTexNewMexico,organic,2207.98,3361.12,14.39,2017,15424.38,1.81,0.02238372497163144,10
582,15323,2017-01-01,Columbus,organic,772.98,2724.28,0.0,2017,5948.66,1.58,0.02645844561246624,1
1635,16376,2017-02-19,NorthernNewEngland,organic,2.6,221.4,0.0,2017,11527.69,1.88,0.029798871081493705,2
1257,15998,2017-04-09,Louisville,organic,0.0,1553.23,0.0,2017,2026.06,1.91,0.022033868075632457,4
1687,16428,2017-02-26,Orlando,organic,1562.36,107.79,0.0,2017,4818.73,2.08,0.015419722344327091,2
1641,16382,2017-01-08,NorthernNewEngland,organic,3.76,254.54,0.0,2017,12777.93,1.86,0.029188107487382212,1
132,14873,2017-07-02,BaltimoreWashington,organic,1028.08,12582.81,209.44,2017,23687.44,2.2,0.034018926361831466,7
3426,18167,2018-03-11,Spokane,organic,307.23,1845.22,0.0,2018,4790.07,1.72,0.0548830160973316,3
2530,17271,2017-04-02,Spokane,organic,234.46,1746.63,0.0,2017,5923.05,1.32,0.058656307539861625,4
2151,16892,2017-05-28,Sacramento,organic,2305.34,3465.79,0.0,2017,6662.68,2.46,0.013644686321078405,5
2248,16989,2017-07-30,SanFrancisco,organic,1825.73,3948.19,0.0,2017,10110.25,2.14,0.011140111290596002,7
1758,16499,2017-10-29,PhoenixTucson,organic,2450.25,1503.06,0.0,2017,12481.54,1.89,0.014205863477394609,10
1812,16553,2017-10-22,Pittsburgh,organic,1240.6,10.63,0.0,2017,11539.28,1.43,0.1035270381677047,10
1233,15974,2017-09-24,Louisville,organic,2.59,1074.42,0.0,2017,4156.59,2.21,0.0652555508405327,9
2834,17575,2017-07-09,WestTexNewMexico,organic,2295.76,3701.18,38.67,2017,18244.09,1.65,0.01656657230710612,7
72,14813,2017-08-20,Atlanta,organic,587.96,6921.22,0.0,2017,17338.42,2.18,0.03515067460879395,8
3211,17952,2018-03-04,Northeast,organic,38734.87,90401.71,108.65,2018,313200.35,1.65,0.055613278139714166,3
3318,18059,2018-03-11,RichmondNorfolk,organic,363.43,3680.52,79.89,2018,16213.23,1.35,0.04480537256687722,3
601,15342,2017-08-27,DallasFtWorth,organic,7685.44,483.04,0.0,2017,20709.86,1.9,0.018629397784229233,8
1473,16214,2017-03-12,NewOrleansMobile,organic,369.23,0.0,0.0,2017,3782.27,1.45,0.015573482402068241,3
1578,16319,2017-03-19,Northeast,organic,45037.68,116111.93,163.76,2017,276084.84,1.88,0.06826273945938655,3
3356,18097,2018-02-25,SanDiego,organic,1274.61,13035.32,0.0,2018,20171.93,1.83,0.03611592471447167,2
2119,16860,2017-01-01,Roanoke,organic,212.55,2337.72,0.0,2017,3969.98,1.51,0.02713256917063045,1
3445,18186,2018-01-21,StLouis,organic,1559.68,823.81,0.0,2018,6887.8,1.77,0.026076520606652557,1
3397,18138,2018-01-21,SouthCarolina,organic,105.95,4280.36,73.29,2018,17566.45,1.4,0.033535243442907266,1
2702,17443,2017-01-01,Tampa,organic,287.57,36.42,0.0,2017,5905.05,1.22,0.010111969809766808,1
514,15255,2017-04-16,CincinnatiDayton,organic,290.18,4390.45,0.0,2017,19269.21,0.98,0.06865497291883171,4
2830,17571,2017-08-06,WestTexNewMexico,organic,2134.24,4592.66,331.6,2017,15242.53,1.78,0.01719458517322836,8
2485,17226,2017-02-05,Southeast,organic,9542.26,12078.59,234.87,2017,52925.32,1.54,0.006964898698039511,2
3067,17808,2018-03-04,HartfordSpringfield,organic,622.71,19631.02,0.0,2018,27608.16,1.9,0.06005641807482354,3
2301,17042,2017-07-30,Seattle,organic,1131.67,13395.46,76.57,2017,28587.18,2.6,0.05724302759103761,7
259,15000,2017-02-05,Boston,organic,7.16,2644.02,38.21,2017,22249.09,1.63,0.028008850453775103,2
2839,17580,2017-05-21,WestTexNewMexico,organic,3988.8,5269.43,16.64,2017,16899.03,1.73,0.016630208827481008,5
1333,16074,2017-11-05,Midsouth,organic,3560.76,36025.34,677.79,2017,137573.44,1.85,0.04557659344609066,11
3247,17988,2018-03-04,Philadelphia,organic,6525.07,6294.03,5.66,2018,33327.68,1.51,0.06987242038979324,3
2948,17689,2018-02-25,Charlotte,organic,36.46,5987.21,190.71,2018,11946.22,1.91,0.045735832384668614,2
2200,16941,2017-06-25,SanDiego,organic,975.09,8290.7,0.0,2017,17744.03,1.73,0.02937822671111412,6
2888,17629,2018-02-25,BaltimoreWashington,organic,1626.3,7913.27,49.45,2018,47421.15,1.47,0.05366108287340232,2
130,14871,2017-07-16,BaltimoreWashington,organic,845.67,4835.57,168.13,2017,37981.09,1.57,0.0536109586123702,7
1619,16360,2017-06-11,NorthernNewEngland,organic,2.59,304.24,0.0,2017,15591.67,1.83,0.03694027936795996,6
1614,16355,2017-07-16,NorthernNewEngland,organic,10.56,397.21,0.0,2017,20254.68,1.66,0.039622207675918064,7
1242,15983,2017-07-23,Louisville,organic,0.0,1441.91,0.0,2017,5061.01,1.6,0.05188275811518639,7
1998,16739,2017-04-16,RaleighGreensboro,organic,202.49,6574.76,531.29,2017,10247.33,2.24,0.03434499957669235,4
636,15377,2017-12-31,Denver,organic,4400.94,482.72,12.67,2017,17906.71,1.48,0.018723258253946492,12
1979,16720,2017-08-27,RaleighGreensboro,organic,419.06,4851.9,145.09,2017,12656.32,3.04,0.04136929695219671,8
2498,17239,2017-11-12,Spokane,organic,276.49,1165.5,0.0,2017,3113.68,2.17,0.0345804298631478,11
355,15096,2017-04-16,California,organic,28602.39,68759.01,7.85,2017,194263.4,1.67,0.03446617146106745,4
3105,17846,2018-02-18,Jacksonville,organic,149.89,1094.56,2.62,2018,5389.68,1.89,0.028308086955631136,2
1110,15851,2017-01-15,Jacksonville,organic,338.85,97.16,14.57,2017,4618.57,1.25,0.02359532904882511,1
1036,15777,2017-06-11,Indianapolis,organic,100.36,1100.69,0.0,2017,15511.39,0.84,0.06452718520492197,6
2731,17472,2017-06-18,TotalUS,organic,169434.58,442594.36,2140.13,2017,1304554.29,1.71,0.03298308339206335,6
3472,18213,2018-03-25,TotalUS,organic,121007.94,342853.1,1070.24,2018,1559967.2,1.55,0.03468921582188078,3
304,15045,2017-04-02,BuffaloRochester,organic,1.22,923.99,0.0,2017,3337.9,2.09,0.019553862164574217,4
2549,17290,2017-11-26,StLouis,organic,654.85,764.6,0.0,2017,5337.53,2.0,0.040564431801332616,11
438,15179,2017-09-24,Chicago,organic,110.63,25900.41,0.0,2017,33346.53,1.92,0.056979012437463276,9
1053,15794,2017-02-12,Indianapolis,organic,785.28,1389.26,0.0,2017,4313.04,1.15,0.017830681452311037,2
920,15661,2017-08-20,HartfordSpringfield,organic,333.17,6341.29,2.76,2017,16040.58,2.19,0.06693064370889501,8
1415,16156,2017-04-16,Nashville,organic,475.47,3049.63,0.0,2017,8448.33,1.14,0.03534652402814975,4
225,14966,2017-10-01,Boston,organic,17.83,1127.52,0.0,2017,26718.67,1.61,0.05249345518236581,10
1554,16295,2017-09-03,Northeast,organic,15489.31,42399.85,207.82,2017,223548.33,1.92,0.06289433466896333,9
784,15525,2017-03-12,GrandRapids,organic,39.1,2890.46,0.0,2017,4146.49,1.94,0.0309514805913258,3
2659,17400,2017-10-29,Tampa,organic,92.65,741.78,0.0,2017,6320.26,1.94,0.012999287063684915,10
655,15396,2017-08-20,Denver,organic,5178.4,520.11,40.88,2017,17338.59,2.11,0.0193739878391187,8
1742,16483,2017-02-12,Philadelphia,organic,1625.07,4126.39,0.0,2017,12382.57,1.91,0.021181203301761764,2
1786,16527,2017-04-16,PhoenixTucson,organic,3513.65,5291.51,0.0,2017,16022.22,1.51,0.012602864394624214,4
838,15579,2017-03-05,GreatLakes,organic,4497.87,85819.87,0.0,2017,318890.26,0.83,0.09069090641779964,3
2853,17594,2017-02-12,WestTexNewMexico,organic,2248.71,9177.71,37.92,2017,28191.45,1.4,0.02450889278429924,2
2469,17210,2017-05-28,Southeast,organic,11588.66,17819.29,279.21,2017,84319.76,1.81,0.021073468074535917,5
2558,17299,2017-09-24,StLouis,organic,8.94,475.6,0.0,2017,2935.97,2.49,0.019860877729883875,9
185,14926,2017-07-02,Boise,organic,41.84,1111.25,0.0,2017,2765.03,1.92,0.02760240430804461,7
2611,17352,2017-09-24,Syracuse,organic,95.09,88.8,0.0,2017,6416.81,1.4,0.10644040761397387,9
3366,18107,2018-03-11,SanFrancisco,organic,10368.17,10850.44,0.0,2018,25741.84,2.16,0.027677141418427587,3
3027,17768,2018-01-07,Detroit,organic,1649.74,3006.89,0.0,2018,23120.43,1.22,0.04319449159412903,1
1311,16052,2017-04-02,MiamiFtLauderdale,organic,545.88,36.18,0.0,2017,4159.55,2.03,0.008356362692518493,4
172,14913,2017-10-01,Boise,organic,58.19,473.62,0.0,2017,1373.11,2.79,0.022894366386226217,10
708,15449,2017-08-20,Detroit,organic,544.7,3347.81,0.0,2017,20129.12,1.59,0.04929017936802138,8
589,15330,2017-11-19,DallasFtWorth,organic,5229.44,295.54,0.0,2017,21044.41,1.63,0.0214856081543503,11
3049,17790,2018-01-21,GreatLakes,organic,5114.24,53205.28,0.0,2018,235021.5,1.41,0.04645053832800439,1
850,15591,2017-12-17,HarrisburgScranton,organic,380.06,287.28,5.95,2017,16946.1,1.46,0.07930148096256251,12
644,15385,2017-11-05,Denver,organic,4139.0,411.73,35.75,2017,15794.46,2.05,0.01661935923661173,11
904,15645,2017-12-10,HartfordSpringfield,organic,77.91,3133.36,5.58,2017,13690.78,1.81,0.029710051409783226,12
3220,17961,2018-03-25,NorthernNewEngland,organic,9.44,257.67,0.0,2018,22596.13,1.63,0.04468104981117438,3
1205,15946,2017-04-02,LosAngeles,organic,13732.06,30991.3,17.58,2017,122384.82,1.3,0.0379753956123724,4
1715,16456,2017-08-20,Philadelphia,organic,4535.82,7007.77,4.61,2017,28797.58,1.74,0.07255704527519335,8
2556,17297,2017-10-08,StLouis,organic,19.03,733.82,0.0,2017,6086.65,2.27,0.04553226288834622,10
1678,16419,2017-04-30,Orlando,organic,2188.24,289.11,0.0,2017,4681.64,2.38,0.009662637595590716,4
639,15380,2017-12-10,Denver,organic,4093.04,451.74,49.81,2017,24471.73,1.67,0.026853247883055875,12
1565,16306,2017-06-18,Northeast,organic,45284.06,123914.52,265.91,2017,307563.37,1.98,0.07231963124672036,6
305,15046,2017-03-26,BuffaloRochester,organic,0.0,451.29,0.0,2017,4486.25,2.16,0.027817575486777324,3
2063,16804,2017-01-22,RichmondNorfolk,organic,436.2,2878.14,180.28,2017,8066.77,1.27,0.02737206562208061,1
1709,16450,2017-10-01,Philadelphia,organic,1696.86,3087.3,0.0,2017,32035.84,1.61,0.07591003880918934,10
1988,16729,2017-06-25,RaleighGreensboro,organic,173.53,5355.82,266.79,2017,10089.71,1.95,0.03281028741662328,6
3439,18180,2018-03-04,StLouis,organic,982.72,2294.52,0.0,2018,6858.14,1.76,0.03833317906472089,3
1218,15959,2017-01-01,LosAngeles,organic,15830.84,28951.76,1.56,2017,99950.32,1.07,0.027373993495099943,1
1455,16196,2017-07-16,NewOrleansMobile,organic,157.91,128.12,0.0,2017,5447.12,1.23,0.022852541883377157,7
2551,17292,2017-11-12,StLouis,organic,10.52,1238.07,0.0,2017,5719.05,1.96,0.0326858796691204,11
3379,18120,2018-03-04,Seattle,organic,1999.5,37762.97,24.38,2018,156527.16,1.27,0.25540965773114244,3
2594,17335,2017-01-15,StLouis,organic,1997.04,657.61,0.0,2017,7588.47,1.45,0.039759587804328984,1
3386,18127,2018-01-14,Seattle,organic,1147.33,18370.39,9.23,2018,36228.45,2.03,0.04855504172601832,1
2340,17081,2017-11-05,SouthCarolina,organic,125.12,3697.79,112.44,2017,13736.56,1.68,0.04265787872346472,11
2197,16938,2017-07-16,SanDiego,organic,693.61,9183.67,0.0,2017,14060.23,2.3,0.030328113107775057,7
3293,18034,2018-03-18,Portland,organic,1433.7,7055.03,3.5,2018,26967.79,1.78,0.034304697155843944,3
166,14907,2017-11-12,Boise,organic,46.66,484.39,0.0,2017,1869.21,1.88,0.022333269332028397,11
1768,16509,2017-08-20,PhoenixTucson,organic,2571.39,4024.95,0.0,2017,11021.67,2.19,0.014040899861360144,8
2649,17390,2017-01-01,Syracuse,organic,6.3,42.83,0.0,2017,1811.03,1.7,0.027400383629275767,1
3121,17862,2018-01-21,LasVegas,organic,1096.07,1280.31,0.0,2018,7491.53,1.91,0.020157659902960038,1
1115,15856,2017-12-17,LasVegas,organic,1104.72,1479.8,0.0,2017,7541.05,1.94,0.027369349333874138,12
2364,17105,2017-05-21,SouthCarolina,organic,744.08,4624.3,193.97,2017,8777.8,1.86,0.023589190239732605,5
681,15422,2017-02-19,Denver,organic,10979.36,1473.29,19.8,2017,34290.67,1.16,0.04114740432989439,2
2289,17030,2017-10-22,Seattle,organic,1276.83,12683.1,15.26,2017,29230.93,2.3,0.05870435123774476,10
3021,17762,2018-02-18,Detroit,organic,577.71,2469.69,1.41,2018,14647.97,1.34,0.038893757109051415,2
1253,15994,2017-05-07,Louisville,organic,0.0,1570.14,0.0,2017,3514.92,1.48,0.02528693227926282,5
3444,18185,2018-01-28,StLouis,organic,1399.87,649.18,0.0,2018,6297.35,1.76,0.029319764333783693,1
336,15077,2017-08-27,California,organic,31149.69,48281.23,0.0,2017,121293.43,2.54,0.02706652931685927,8
129,14870,2017-07-23,BaltimoreWashington,organic,763.36,8833.15,131.28,2017,50322.79,1.51,0.0677113615006848,7
69,14810,2017-09-10,Atlanta,organic,599.45,5931.44,0.0,2017,13955.66,2.59,0.02901719489498666,9
2269,17010,2017-03-05,SanFrancisco,organic,8013.98,10054.06,0.0,2017,21218.15,2.92,0.03059746911487948,3
1432,16173,2017-12-24,NewOrleansMobile,organic,123.5,54.36,0.0,2017,5574.96,1.45,0.024192163618135587,12
3273,18014,2018-02-18,Pittsburgh,organic,963.42,32.46,0.0,2018,15123.96,1.36,0.11110203460362976,2
2325,17066,2017-02-12,Seattle,organic,684.04,16188.04,25.14,2017,38095.07,1.79,0.04833228301683578,2
